Symbol,Score
CROCC,0.465
CENPF,0.986
IRF5,0.697
CDK1,0.456
MTHFD1L,0.755
GPX1,0.348
ARHGAP21,0.149
PSMB3,0.106
ALMS1,0.989
TTC28,0.386
MSH6,0.104
WRAP73,0.100
CEP250,0.897
CDK5RAP2,0.949
AKAP9,0.568
GPS1,0.951
CEP192,0.999
STIL,0.977
WASHC2A,0.628
RAN,0.139
ADSL,0.818
ENTR1,0.771
DLG5,0.271
SMC2,0.936
KIF20B,0.118
BIRC5,0.112
HAUS3,0.966
ATXN10,0.510
CCHCR1,0.940
WASHC1,0.602
CEP63,0.991
KIF23,0.955
WDR62,0.949
PCM1,0.925
RGPD3,0.230
MCM3,0.131
CEP350,0.922
SMG7,0.162
DDX11,0.140
MYO9A,0.499
CCT5,0.213
GTPBP1,0.450
ACTR3,0.508
TUBGCP2,0.949
TNRC6B,0.114
MCM7,0.122
RAD18,0.100
NCAPH,0.110
CDC25A,0.108
MCM2,0.135
RANBP1,0.137
SDAD1,0.117
CCNB1,0.165
HNRNPD,0.971
HINT1,0.142
CANX,0.121
CEP170,0.650
SRPK1,0.130
LUZP1,0.123
POC5,0.983
CEP120,0.704
MAD2L1,0.250
POLR2G,0.160
CNOT10,0.364
RRM1,0.674
CCNE2,0.118
RUVBL1,0.121
TRAPPC4,0.284
RAD51,0.150
CSTF3,0.120
PINX1,0.161
EXO1,0.102
ELAC2,0.102
MLEC,0.480
MARS1,0.122
DYNLL1,0.991
KIAA0753,0.606
CENPJ,0.270
UNG,0.119
CCT2,0.146
TCHP,0.914
SPAG5,0.943
TUBA1B,0.100
DTL,0.328
NEDD1,0.128
PLK4,1.000
PRC1,0.129
GTPBP2,0.225
ORC5,0.147
ERC1,0.406
TRAPPC6B,0.318
CNOT9,0.205
CCDC138,0.328
NDC80,0.191
CCT8,0.100
CEP85,0.997
PCNT,0.897
TNRC6A,0.726
CSK,0.191
KNSTRN,0.972
CC2D1A,0.612
TOP2A,0.150
PLK1,0.164
CEP131,0.861
GPATCH1,0.480
TRAPPC1,0.297
CDC6,0.153
TUBG1,0.984
KPNB1,0.207
AURKB,0.256
GRB2,0.551
TRAPPC5,0.594
SH3BGRL,0.836
ANP32D,0.208
PPM1G,0.985
PRAMEF1,0.959
SLC25A5,0.100
DBT,0.484
PLEK,0.742
MAGEA12,0.770
PCNA,0.184
CCT4,0.138
TUBB,0.163
CYP7A1,0.475
CXCL5,0.291
TRAPPC2B,0.247
ASIP,0.589
AHCY,0.159
TXLNA,0.304
PCBP1,0.107
KIF14,0.224
BMS1,0.124
HAUS6,0.978
DHX9,0.145
CEP135,0.994
SASS6,0.993
RPF2,0.828
DYNLL2,0.754
SERBP1,0.854
DNAJC9,0.126
FBXO5,0.161
TTF2,0.294
CNTLN,0.166
CEP72,0.984
AP3M1,0.280
NCKAP1,0.740
