Symbol,xgboost
A1BG,0.3765081763267517
A1BG-AS1,0.2837708592414856
A1CF,0.3566477596759796
A2M,0.5206813812255859
A2ML1,0.3896667957305908
A2MP1,0.2889678478240967
A3GALT2,0.31496381759643555
A4GALT,0.5179785490036011
A4GNT,0.32653653621673584
AAAS,0.5020806789398193
AACS,0.14614087343215942
AACSP1,0.2889678478240967
AADAC,0.577822208404541
AADACL2,0.2810702919960022
AADACL3,0.278606653213501
AADACL4,0.3757757544517517
AADAT,0.2810916602611542
AAGAB,0.1912795752286911
AAK1,0.20409658551216125
AAMDC,0.37174099683761597
AAMP,0.18881335854530334
AANAT,0.27135396003723145
AAR2,0.35458123683929443
AARD,0.33302780985832214
AARS1,0.42001989483833313
AARS2,0.4576529264450073
AARSD1,0.2006223499774933
AASDH,0.4169507622718811
AASDHPPT,0.19937755167484283
AASS,0.5012837052345276
AATF,0.4021686911582947
AATK,0.22418595850467682
ABAT,0.2702901363372803
ABCA1,0.1643698513507843
ABCA2,0.18792805075645447
ABCA3,0.15620285272598267
ABCA4,0.23302944004535675
ABCA5,0.22283321619033813
ABCA6,0.558192789554596
ABCA7,0.33023801445961
ABCA8,0.20619279146194458
ABCA9,0.28713345527648926
ABCA10,0.2564071714878082
ABCA11P,0.27283158898353577
ABCA12,0.3776812255382538
ABCA13,0.4734201729297638
ABCA17P,0.26993486285209656
ABCB1,0.2303132712841034
ABCB4,0.19497914612293243
ABCB5,0.21933473646640778
ABCB6,0.27722200751304626
ABCB7,0.1591804176568985
ABCB8,0.1260332465171814
ABCB9,0.2674378454685211
ABCB10,0.16503742337226868
ABCB11,0.23359906673431396
ABCC1,0.23985302448272705
ABCC2,0.2545381486415863
ABCC3,0.3037615418434143
ABCC4,0.21035729348659515
ABCC5,0.15509876608848572
ABCC6,0.23685376346111298
ABCC6P1,0.30048251152038574
ABCC6P2,0.3083314001560211
ABCC8,0.251130610704422
ABCC9,0.2173822671175003
ABCC10,0.31308576464653015
ABCC11,0.19405053555965424
ABCC12,0.5461559295654297
ABCC13,0.2962336242198944
ABCD1,0.33175408840179443
ABCD2,0.5675160884857178
ABCD3,0.4654825031757355
ABCD4,0.41195109486579895
ABCE1,0.327872633934021
ABCF1,0.21472275257110596
ABCF2,0.27110251784324646
ABCF2-H2BE1,0.28989216685295105
ABCF3,0.5442308187484741
ABCG1,0.20004205405712128
ABCG2,0.22408711910247803
ABCG4,0.26701197028160095
ABCG5,0.26502010226249695
ABCG8,0.35315245389938354
ABHD1,0.20783254504203796
ABHD2,0.14208568632602692
ABHD3,0.17264513671398163
ABHD4,0.3437255322933197
ABHD5,0.27798357605934143
ABHD6,0.5140596032142639
ABHD8,0.4863021969795227
ABHD10,0.14247918128967285
ABHD11,0.4961479604244232
ABHD11-AS1,0.27548888325691223
ABHD12,0.21126951277256012
ABHD12B,0.53725665807724
ABHD13,0.4406394362449646
ABHD14A,0.3796532452106476
ABHD14A-ACY1,0.37710148096084595
ABHD14B,0.4669754207134247
ABHD15,0.2885817885398865
ABHD16A,0.22239868342876434
ABHD16B,0.3959338665008545
ABHD17A,0.4990386366844177
ABHD17B,0.3751053810119629
ABHD17C,0.30067795515060425
ABHD18,0.2866819202899933
ABI1,0.22454077005386353
ABI2,0.18489442765712738
ABI3,0.46366891264915466
ABI3BP,0.2004002332687378
ABITRAM,0.20445182919502258
ABL1,0.2727700173854828
ABL2,0.26978355646133423
ABLIM1,0.2671043574810028
ABLIM2,0.13930237293243408
ABLIM3,0.49804359674453735
ABO,0.250470906496048
ABR,0.24739161133766174
ABRA,0.2219332754611969
ABRACL,0.537877082824707
ABRAXAS1,0.25229278206825256
ABRAXAS2,0.6071176528930664
ABT1,0.5133804082870483
ABTB1,0.5129481554031372
ABTB2,0.40043121576309204
ACAA1,0.4853193461894989
ACAA2,0.471623033285141
ACACA,0.4935832917690277
ACACB,0.4255847930908203
ACAD8,0.4675677716732025
ACAD9,0.31793418526649475
ACAD10,0.16095618903636932
ACAD11,0.16428488492965698
ACADL,0.23078115284442902
ACADM,0.21647310256958008
ACADS,0.5275834798812866
ACADSB,0.229492649435997
ACADVL,0.26948925852775574
ACAN,0.5206813812255859
ACAP1,0.21456462144851685
ACAP2,0.26463305950164795
ACAP3,0.24018920958042145
ACBD3,0.15731175243854523
ACBD4,0.162663996219635
ACBD5,0.14002855122089386
ACBD6,0.3871171176433563
ACBD7,0.2703593075275421
ACCS,0.3116300106048584
ACCSL,0.2650766670703888
ACD,0.2818796932697296
ACE,0.2932821214199066
ACE2,0.5464593172073364
ACE3P,0.2889678478240967
ACER1,0.28725430369377136
ACER2,0.49295827746391296
ACER3,0.16133610904216766
ACHE,0.31334447860717773
ACIN1,0.5381908416748047
ACKR1,0.2226749062538147
ACKR2,0.28983575105667114
ACKR3,0.33003589510917664
ACKR4,0.2612763047218323
ACLY,0.12310405820608139
ACMSD,0.5467300415039062
ACO1,0.2693939507007599
ACO2,0.33852311968803406
ACOD1,0.2810702919960022
ACOT1,0.49295827746391296
ACOT2,0.5437794923782349
ACOT4,0.5111161470413208
ACOT6,0.5326775908470154
ACOT7,0.2950465679168701
ACOT8,0.20309282839298248
ACOT9,0.5116077661514282
ACOT11,0.5422310829162598
ACOT12,0.5378170609474182
ACOT13,0.3137960731983185
ACOX1,0.4893406927585602
ACOX2,0.5398789644241333
ACOX3,0.4996275007724762
ACOXL,0.3126727044582367
ACP2,0.4795801043510437
ACP3,0.529850959777832
ACP4,0.3111632764339447
ACP5,0.4963476061820984
ACP6,0.5353562831878662
