Symbols,Score
ADD2,0.485
ADD3,0.494
ADGB,0.159
ADGRA1,0.215
ADGRA2,0.31
ADGRA3,0.217
ADGRB1,0.343
ADGRB2,0.427
ADGRB3,0.323
ADGRD1,0.248
ADGRD2,0.206
ADGRE1,0.237
ADGRE2,0.275
ADGRE3,0.281
ADGRE5,0.313
ADGRF1,0.268
ADGRF3,0.162
ADGRF4,0.162
ADGRF5,0.302
ADGRG1,0.271
ADGRG2,0.332
ADGRG3,0.269
ADGRG4,0.206
ADGRG5,0.206
ADGRG6,0.349
ADGRG7,0.3
ADGRL1,0.338
ADGRL2,0.278
ADGRL3,0.321
ADGRL4,0.368
ADGRV1,0.333
ADH1A,0.407
ADH1B,0.346
ADH1C,0.34
ADH4,0.306
ADH5,0.329
ADH6,0.263
ADH7,0.298
ADHFE1,0.3
ADI1,0.429
ADIG,0.355
ADIPOQ,0.258
ADIPOR1,0.315
ADIPOR2,0.329
ADIRF,0.385
ADISSP,0.205
ADK,0.436
ADM,0.294
ADM2,0.271
ADM5,0.204
ADNP,0.348
ADNP2,0.377
ADO,0.295
ADORA1,0.291
ADORA2A,0.302
ADORA2B,0.239
ADORA3,0.233
ADPGK,0.309
ADPRH,0.348
ADPRHL1,0.165
ADPRM,0.283
ADPRS,0.345
ADRA1A,0.317
ADRA1B,0.383
ADRA1D,0.35
ADRA2A,0.341
ADRA2B,0.314
ADRA2C,0.361
ADRB1,0.313
ADRB2,0.35
ADRB3,0.322
ADRM1,0.487
ADSL,0.259
ADSS1,0.354
ADSS2,0.389
ADTRP,0.246
AEBP1,0.351
AEBP2,0.337
AEN,0.426
AFAP1,0.416
AFAP1L1,0.388
AFAP1L2,0.4
AFDN,0.414
AFF1,0.379
AFF2,0.314
AFF3,0.382
AFF4,0.455
AFG1L,0.488
AFG2A,0.393
AFG2B,0.301
AFG3L2,0.409
AFM,0.229
AFMID,0.313
AFP,0.417
AFTPH,0.405
AGA,0.388
AGAP1,0.316
AGAP2,0.402
AGAP3,0.388
AGAP4,0.25
AGAP5,0.25
AGAP6,0.25
AGAP9,0.25
AGBL1,0.374
AGBL2,0.424
AGBL3,0.323
AGBL4,0.463
AGBL5,0.457
AGER,0.327
AGFG1,0.441
AGFG2,0.209
AGGF1,0.39
AGK,0.452
AGL,0.39
AGMAT,0.272
AGMO,0.288
AGO1,0.357
AGO2,0.34
AGO3,0.387
AGO4,0.404
AGPAT1,0.366
AGPAT2,0.299
AGPAT3,0.342
AGPAT4,0.357
AGPAT5,0.414
AGPS,0.46
AGR2,0.347
AGR3,0.41
AGRN,0.405
AGRP,0.286
AGT,0.252
AGTPBP1,0.492
AGTR1,0.281
AGTR2,0.278
AGTRAP,0.44
AGXT,0.438
AGXT2,0.305
AHCTF1,0.445
AHCY,0.4
AHCYL1,0.395
AHCYL2,0.41
AHDC1,0.071
AHI1,0.452
AHNAK,0.471
AHNAK2,0.476
AHR,0.397
AHRR,0.411
AHSA1,0.399
AHSG,0.283
AHSP,0.463
AICDA,0.39
AIDA,0.379
AIF1,0.361
AIF1L,0.419
AIFM1,0.371
AIFM2,0.419
AIFM3,0.383
AIG1,0.258
AIM2,0.384
AIMP1,0.398
AIMP2,0.453
AIP,0.469
AIPL1,0.466
AIRE,0.377
AIRIM,0.367
AJAP1,0.365
AJM1,0.239
AJUBA,0.455
AK1,0.354
AK2,0.332
AK3,0.441
AK4,0.376
AK5,0.424
AK6,0.516
AK7,0.412
AK8,0.475
AK9,0.415
AKAIN1,0.161
AKAP1,0.407
AKAP10,0.444
AKAP11,0.568
AKAP12,0.463
AKAP13,0.492
AKAP14,0.404
AKAP17A,0.447
AKAP3,0.402
AKAP4,0.498
AKAP5,0.44
AKAP6,0.4
AKAP7,0.444
AKAP8,0.489
AKAP8L,0.502
AKAP9,0.537
AKIP1,0.384
AKIRIN1,0.382
AKIRIN2,0.375
AKNA,0.406
AKR1A1,0.345
AKR1B1,0.282
AKR1B10,0.346
AKR1B15,0.315
AKR1C1,0.309
AKR1C2,0.314
AKR1C3,0.251
AKR1C4,0.264
AKR1C8,0.297
AKR1D1,0.272
AKR1E2,0.328
AKR7A2,0.366
AKR7A3,0.385
AKR7L,0.268
AKT1,0.355
AKT1S1,0.439
AKT2,0.442
AKT3,0.506
AKTIP,0.403
ALAD,0.269
ALAS1,0.495
ALAS2,0.385
ALB,0.408
ALCAM,0.359
ALDH16A1,0.148
ALDH18A1,0.456
ALDH1A1,0.322
ALDH1A2,0.308
ALDH1A3,0.373
ALDH1B1,0.345
ALDH1L1,0.287
ALDH1L2,0.292
ALDH2,0.27
ALDH3A1,0.383
ALDH3A2,0.361
ALDH3B1,0.362
ALDH3B2,0.281
ALDH4A1,0.338
ALDH5A1,0.34
ALDH6A1,0.361
ALDH7A1,0.382
ALDH8A1,0.259
ALDH9A1,0.289
ALDOA,0.441
ALDOB,0.459
ALDOC,0.459
ALG1,0.298
ALG10,0.255
ALG10B,0.336
ALG11,0.263
ALG12,0.336
ALG13,0.294
ALG14,0.279
ALG1L2,0.274
ALG2,0.48
ALG3,0.362
ALG5,0.293
ALG6,0.284
ALG8,0.353
ALG9,0.281
ALK,0.441
ALKAL1,0.276
ALKAL2,0.276
ALKBH1,0.332
ALKBH2,0.34
ALKBH3,0.413
ALKBH4,0.445
ALKBH5,0.386
ALKBH6,0.406
ALKBH7,0.296
ALKBH8,0.433
ALLC,0.076
ALMS1,0.659
ALOX12,0.33
ALOX12B,0.35
ALOX15,0.351
ALOX15B,0.378
ALOX5,0.39
ALOX5AP,0.378
ALOXE3,0.366
ALPG,0.264
ALPI,0.337
ALPK1,0.516
ALPK2,0.311
ALPK3,0.468
ALPL,0.304
ALPP,0.347
ALS2,0.391
ALS2CL,0.382
ALX1,0.38
ALX3,0.286
ALX4,0.337
ALYREF,0.425
AMACR,0.432
AMBN,0.397
AMBP,0.365
AMBRA1,0.447
AMD1,0.294
AMDHD1,0.285
AMDHD2,0.376
AMELX,0.416
AMELY,0.121
AMER1,0.458
AMER2,0.34
AMER3,0.339
AMFR,0.463
AMH,0.285
AMHR2,0.487
AMIGO1,0.237
AMIGO2,0.376
AMIGO3,0.144
AMMECR1,0.368
AMN,0.346
AMN1,0.26
AMOT,0.415
AMOTL1,0.462
AMOTL2,0.461
AMPD1,0.309
AMPD2,0.346
AMPD3,0.349
AMPH,0.461
AMT,0.308
AMTN,0.378
AMY2A,0.188
AMY2B,0.165
AMZ1,0.208
AMZ2,0.208
ANAPC1,0.448
ANAPC10,0.43
ANAPC11,0.538
ANAPC13,0.408
ANAPC15,0.416
ANAPC16,0.466
