Symbol,Score
GP9,191
FOXA3,188
HIPK3,372
RAC3,253
FOXI1,255
ANKRD27,268
UBB,224
LRRC28,191
CKAP2L,159
SIK2,297
ARF4,237
YWHAG,900
SHCBP1,278
LRRC8E,191
AVEN,532
VASN,191
ESCO2,203
KIF5B,181
MAP6,193
BPTF,160
RPTOR,300
MCM7,311
FEM1B,173
SCN11A,150
MUS81,317
PODN,200
H2AZ2,247
RPS6KB2,193
CDC20,779
RND1,285
ARL10,237
RHOD,237
TLR10,191
PLG,860
CCNE2,262
PDP2,166
PRKACA,900
MAP3K11,350
LRCH4,191
MIS18BP1,165
TBC1D16,244
FOXP4,188
HRAS,281
RACGAP1,411
FOSL1,167
MOB1B,257
HSPA6,168
ERCC4,186
DSEL,329
BRSK1,470
PDE7B,196
BRSK2,463
TEAD2,321
MAPK7,151
CKS1B,322
ZWILCH,225
ARR3,576
EXO1,190
LRRN3,191
SSH3,266
TNS3,323
DAG1,362
LRFN4,191
RAB8B,406
DYRK1B,372
CLSPN,188
FBXW5,935
PRKDC,151
ATP10B,174
SSNA1,900
PDS5B,373
ANAPC2,225
PAK2,300
BOK,198
CDC42,269
MCM9,161
FOXR1,255
KLC2,222
LRRN1,191
TYMS,161
CHAF1B,210
SSH1,266
CCNG2,618
CDCA8,230
RANBP10,162
RHOJ,237
SAMD4B,156
RECQL5,218
CEP57,909
ROCK2,158
TUBA3E,416
HSPH1,209
TUBB6,677
FOXP1,188
CETN1,186
RAP2B,239
STAG3,480
CPN2,191
NDRG1,262
TUBB3,677
TUBD1,367
KIF1C,181
ATP11B,174
LLGL1,176
CDC25C,971
SEPTIN4,372
PDLIM5,177
RIT2,242
SERPINF2,193
POLE,285
ARL4D,237
KIF1A,181
PAK5,307
DAND5,206
DNAAF4,222
SPAG5,162
POC1B,203
SMC1A,528
SMC6,264
IFT88,179
DBF4B,614
ARL14,237
FOXJ1,271
KIF15,267
CSNK1D,903
FLII,191
PPP2R1A,904
UBE2I,273
NCAPD2,315
PPP2R2A,831
LRCH2,191
WDR33,354
FBN1,198
STK25,162
DIRAS1,237
HSP90AB1,232
PPP1CA,240
TUBA3D,416
FOXL1,255
TACC3,249
LRIG3,191
CUL1,427
LRRC57,191
DRC3,411
PCM1,902
SENP5,549
PPM1A,203
BGN,191
ACP7,212
TRAIP,211
CDCA2,155
KIF21B,258
NRROS,191
MOB2,257
FOXK1,255
UTY,222
TSPO,282
GP1BA,191
DUSP8,266
RTN4RL1,191
KPNA7,216
PDE4B,196
RIPK4,226
KPNA2,234
TSKU,191
LRRC8B,191
ATP11C,174
BACE2,188
TTC32,222
TUBA8,416
RAB11B,237
MAPK11,150
RPS6KA4,194
DUSP18,266
SELENOV,649
INTU,552
UBL4B,224
EXOC7,236
KPNA4,216
LRCH3,191
FOXE3,255
MYO18B,237
RAX,167
PDE2A,196
ADGRA3,191
PPP2R2C,826
PPP1CC,258
HSP90AA1,924
ANKRD46,164
CDKN3,868
RTN4RL2,191
KNL1,198
FOXD2,255
FOXK2,255
PPP2R2B,827
RAD51C,299
TNPO1,291
ANG,150
TUBA1B,416
CENPA,288
CDKN2D,154
CXCL14,158
ARL17A,237
MAPK15,151
ARL6,237
RERE,152
RHOBTB1,237
NPHP3,222
RASGRP2,349
LRRC8D,191
TUBB,696
FOXG1,255
LRRC61,411
ANAPC1,655
ERAS,237
CFAP52,230
RHOG,237
ZFAND4,224
RSU1,191
FOXO3,272
FGFR3,334
FLRT3,191
XRRA1,191
TBC1D28,244
MYB,198
RAP2C,237
NYX,191
SGK2,193
DUSP29,266
MEF2C,736
RAD1,295
SFN,435
ARHGEF3,238
TUBB4B,966
SMC4,583
SEPTIN6,337
SMAD4,200
DUSP15,266
LRRC66,191
FOXD4L3,255
DYRK2,381
RNF6,392
LRRIQ4,191
OAS2,224
FOXM1,423
CEP97,627
MCPH1,170
DUSP21,266
PKN1,161
MAP3K2,458
HELT,561
FOXN2,255
KPNA1,216
CDK5RAP2,969
PRELP,201
PSPC1,151
LRRC43,411
DUSP28,266
LRRC17,196
OFD1,903
LRRC39,191
CCNG1,632
ECM2,191
UBC,438
PTTG1,174
PODNL1,191
UBQLN2,224
EPB41,396
DUSP22,266
PDE4D,196
MAP3K15,327
KCNJ11,241
TEAD3,224
DUSP9,266
LRFN2,191
RPS3A,167
PRKAA1,297
DUSP19,266
MEF2A,736
LRRIQ3,411
STYX,266
SUV39H2,216
FMOD,203
PDE5A,218
NET1,199
BLM,252
ITSN2,199
LINGO1,191
MYH7,237
TNFRSF14,264
RAC1,252
SUN5,212
CDC16,693
AKAP9,905
RANGAP1,157
NCAPG2,163
KPNA5,216
RAP1A,242
UBE2C,210
DYNC1H1,900
ARL4A,247
TBC1D9B,244
ATP10A,174
BICD2,612
SCRIB,191
SFPQ,151
TBC1D8B,244
RICTOR,158
SMC1B,514
MAP3K6,327
CHM,398
C1ORF109,234
RAD23B,224
PAK4,303
RAD52,454
PRDM10,282
REV3L,277
PTPA,227
MAP3K5,328
DNMT1,172
PCNT,967
TEAD4,224
CSNK1E,903
SEPTIN2,364
ARL9,237
LRRCC1,411
RRM2,260
PAK3,300
TLR9,191
SOX10,235
RAB25,237
FOXJ3,258
SMC3,413
PPEF1,201
KIF21A,258
CDC14A,845
MAP3K3,562
TLR1,213
SMC5,246
CTR9,222
CTNNBL1,169
ARHGAP11A,312
LRRC10,191
LRRTM3,191
LRIG2,191
ISLR2,191
SDCCAG8,900
CEP170,572
WDR64,450
TTC13,222
RHOU,237
H3-4,164
GPR31,349
CEP43,901
PRKN,242
DUSP10,266
MARK1,298
CENPF,207
NEK2,921
DYRK3,372
LRRN2,191
OPTC,191
LGR6,191
KIF14,207
ASPM,360
CFH,265
EPM2A,331
DHX9,211
CEP350,377
SGK1,204
DUSP12,316
DUSP23,845
TTC24,222
UBQLN4,224
RIT1,237
ATP8B2,178
MKI67,191
TUBE1,383
LINGO4,191
BUB3,310
VPS72,170
H3C10,151
PDE4DIP,628
TENT5C,410
SHOC2,191
NRAS,237
HIPK1,372
DUSP5,272
UBL4A,224
OVGP1,472
PIFO,201
TPBG,191
TTK,373
ACTR1A,900
BTRC,961
CETN2,561
YTHDF1,150
KHDC3L,639
LRRC8C,191
MRGBP,169
LRRC1,191
ZRANB2,309
LRRC40,191
DIRAS3,237
FOXD3,255
PRKAA2,297
TTC4,222
PDE6C,196
CEP55,252
TCTE1,191
LRRC26,191
IFIT5,222
IFIT1,222
IFIT1B,222
IFIT3,222
IFIT2,222
STIL,290
PTEN,377
LRIT2,191
PLK3,302
KIF2C,362
LRMDA,191
TBC1D13,244
STK4,176
TOMM34,222
CENPI,252
CDK9,308
TTC16,222
TACR2,265
HDAC1,277
KPNA6,216
RABGAP1,244
RBL1,217
RAB14,237
ZWINT,205
TLR4,196
LRRC18,191
FOXO4,255
SPAG4,212
KIF4A,356
EPHB2,336
TGFBR1,200
NOTCH4,212
TBC1D2,556
FOXE1,255
FKBPL,222
CDC14B,845
RIBC1,187
GRTP1,556
CUL4A,162
CROCC,311
ASPN,213
OMD,291
MAPRE1,900
CENPP,167
CPLANE2,237
HSPA1B,168
HSPA1A,168
HSPA1L,168
VARS1,169
KIF3B,186
SPEN,205
DIRAS2,237
CKS2,380
MAP3K19,466
MASTL,336
FOXS1,255
KAZN,302
LRRC38,191
FOXP3,188
UBQLN1,224
STK24,163
CEP78,909
SPAG6,216
SUV39H1,171
FOXB2,188
TBC1D25,244
TBC1D8,244
GPR180,211
UBD,224
ARL5B,246
FOXH1,255
FOXD4L4,255
FOXD4L5,255
SLC22A12,159
LRRC3C,191
SCGN,212
KDM6A,222
CEP68,196
LRRC10B,191
MS4A13,173
LRRC47,191
ARHGEF39,167
SEPTIN8,337
CCNI2,601
ZFC3H1,228
KIF3A,190
LRRN4,191
MCM8,206
POLA1,531
PCNA,312
LGR4,191
E2F4,175
FOXO1,283
RPS6KA3,219
KIFC3,296
ARIH1,410
RHOBTB3,237
LRRC19,191
RFC3,162
BRCA2,150
UBQLNL,224
CNTROB,268
EMILIN1,181
TUBB2A,677
CHD3,194
TUBAL3,416
HAUS6,291
TLR7,191
ERBIN,191
DUT,286
SGTB,222
ITSN1,199
CDC20B,706
CCP110,980
TEC,576
RHOH,278
CDC37L1,250
CENPJ,994
TLR6,191
DNAJC21,228
NIN,301
TP53BP1,586
FOXD4,255
CHEK2,659
LATS2,466
RAD51,317
CCDC178,151
STAG1,510
LRRC30,191
FOXI2,255
LRRK1,191
SEPTIN14,337
STK38L,445
LRRC4B,191
LRCH1,191
KIF19,201
ARL4C,237
BORA,912
KLC3,222
