Symbol,Score
PIGV,191
MLF2,197
CDC6,222
AURKA,904
FERMT1,184
ORC6,516
FA2H,159
CNOT3,334
C1QBP,351
DUSP3,231
CNOT2,222
DYNLL1,900
EBPL,257
TUBA4A,902
AAMP,249
TUBGCP6,916
DNAJB9,193
TUBG2,900
TUBG1,941
FBXO44,375
NDUFA2,206
TUBGCP2,900
LATS1,173
CCNA1,153
CEP135,984
IL36B,206
ECPAS,470
DCTN3,900
TUBB2B,165
HAUS2,921
GPR87,183
MAPK6,157
SPG11,416
TUBGCP3,900
MCM4,273
CEP76,942
AJUBA,909
EFCAB6,240
OPTN,900
CLASP1,900
TUBB4A,900
ORC4,235
YWHAE,900
CEP72,932
CEP70,953
DEPDC1B,242
CENPE,190
EXOSC7,268
TCIRG1,183
PRKAR2B,900
BBS4,215
TP53,163
PLK4,999
LEFTY1,195
CNOT9,436
ATM,150
NINL,900
CEP164,957
TSEN2,213
SASS6,642
BUB1B,317
CNOT11,249
PLA2G4D,201
CHCHD6,220
GATD3,242
ZER1,150
UBE2Q1,187
CCDC78,459
LHCGR,226
CCDC191,302
NPM1,314
DEUP1,390
FRMD7,198
HIF1AN,241
CPLX4,675
PLK1,932
ATP5MG,191
RAB8A,900
CDT1,236
TUBA1A,920
MDM1,587
CEP120,609
CCDC8,165
CDK5R2,221
YWHAG,900
MYO1B,163
ADGRF3,167
MYEOV,194
PRKACA,900
ZNF622,215
SSNA1,900
CEP295,231
CEP57,940
CDK5R1,501
CETN1,191
TUBD1,224
RNF168,157
CNOT1,227
RBBP8,550
ATRIP,185
DNAAF4,589
RPUSD2,186
PNKP,169
CSNK1D,900
PPP2R1A,900
ZNF335,167
WDR33,583
FBN1,403
TMC8,201
PUS10,377
PCM1,906
TSEN54,282
ZNF804B,416
LRRC36,165
CNOT10,325
ATP6V0A2,374
PTCH1,150
TUBA8,158
HAP1,179
HSP90AA1,900
KNL1,307
RUNDC3B,284
UBE2G2,290
EPB41L3,302
TUBB4B,900
SLC24A5,206
CEP97,414
NLGN4Y,161
MCPH1,668
ATR,267
CDK5RAP2,976
OFD1,916
UBC,483
EPB41,214
FBXO2,474
ZNF512,303
P3H4,162
AKAP9,911
DYNC1H1,900
TBC1D9B,286
NHEJ1,179
IRF5,448
POT1,538
MARCHF5,154
PCNT,939
RNF217,560
CSNK1E,900
TFRC,150
LRRCC1,284
KIAA0753,242
CNOT7,185
SDCCAG8,900
LEFTY2,242
CEP43,900
NEK2,918
TAGAP,259
ASPM,761
RGS18,201
CEP350,353
KLHDC9,237
RARS2,159
PIFO,216
ACTR1A,900
CETN2,191
SLC9A6,191
TM2D1,198
CEP55,164
ORC1,235
STIL,764
SLC25A25,181
MAPRE1,900
MDC1,248
CEP78,900
FBXO6,163
VPS36,252
HAUS6,192
MIS12,207
CCP110,954
CENPJ,990
NIN,372
GNG7,213
JMJD7-PLA2G4B,191
BORA,900
VWA5A,235
SLC12A8,319
NUMA1,485
INCENP,241
CDK1,919
ATXN2L,221
PPP6R2,254
DYNC1I2,900
PAFAH1B1,908
CEP250,912
CCDC40,168
CDYL,184
PAICS,527
SFI1,900
WDR62,747
OBSL1,469
CHEK1,234
CEP131,951
CCDC14,330
STRC,159
TBC1D5,246
DCTN2,908
POC5,472
RAB3GAP1,215
CAMSAP3,242
BRD9,331
YJEFN3,420
CEP192,956
CKAP5,905
TTC12,212
TMEM216,160
CNOT4,193
CEP290,916
NEDD1,923
OBSCN,379
TUBGCP4,900
PLK5,152
